,date,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
230,2020-04-06 00:00:00,143.96,145.95,142.56,143.26,IEX,1056570,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:36,-0.2727823802788442,-0.2727823802788442,143.26,143.96,145.95,142.56,1056570,141.6107,142.3026,144.2697,140.9187,1056570,"Apr 6, 20",-2.1299999999999955,-0.0146
229,2020-04-07 00:00:00,146.09,151.06,145.76,148.04,IEX,902144,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:59,-0.26202263083451205,-0.26202263083451205,148.04,146.09,151.06,145.76,902144,146.3356,144.4081,149.3209,144.0819,902144,"Apr 7, 20",-4.909999999999997,-0.0325
228,2020-04-08 00:00:00,151.0,152.56,145.14,145.81,IEX,571583,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:57,-0.2372196403313801,-0.2372196403313801,145.81,151.0,152.56,145.14,571583,144.1313,149.2616,150.8036,143.469,571583,"Apr 8, 20",-0.5200000000000102,-0.0034
227,2020-04-09 00:00:00,151.52,155.28,150.61,152.66,IEX,573013,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:51,-0.234592847039806,-0.234592847039806,152.66,151.52,155.28,150.61,573013,150.9025,149.7756,153.4923,148.8761,573013,"Apr 9, 20",4.890000000000015,0.0333
226,2020-04-13 00:00:00,146.63,152.77,145.28,151.58,IEX,470291,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:43,-0.25929480703172364,-0.25929480703172364,151.58,146.63,152.77,145.28,470291,149.8349,144.9419,151.0112,143.6074,470291,"Apr 13, 20",-3.5900000000000034,-0.0239
225,2020-04-14 00:00:00,150.22,152.09,148.96,150.09,IEX,537676,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:53,-0.2411598302687412,-0.2411598302687412,150.09,150.22,152.09,148.96,537676,148.362,148.4906,150.339,147.2451,537676,"Apr 14, 20",4.819999999999993,0.0331
224,2020-04-15 00:00:00,145.4,147.28,143.28,146.24,IEX,451688,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:52,-0.26550818347140837,-0.26550818347140837,146.24,145.4,147.28,143.28,451688,144.5564,143.726,145.5844,141.6304,451688,"Apr 15, 20",-1.4300000000000068,-0.0097
223,2020-04-16 00:00:00,146.83,147.22,143.12,145.6,IEX,496446,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:59,-0.2582845019195797,-0.2582845019195797,145.6,146.83,147.22,143.12,496446,143.9237,145.1396,145.5251,141.4723,496446,"Apr 16, 20",-5.899999999999977,-0.0386
222,2020-04-17 00:00:00,152.73,153.63,150.15,150.27,IEX,550450,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:45,-0.2284805011113357,-0.2284805011113357,150.27,152.73,153.63,150.15,550450,148.54,150.9717,151.8613,148.4214,550450,"Apr 17, 20",1.1499999999999773,0.0076
221,2020-04-20 00:00:00,151.58,153.085,148.29,150.57,IEX,389059,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:51,-0.23428975550616282,-0.23428975550616282,150.57,151.58,153.085,148.29,389059,148.8365,149.8349,151.3226,146.5828,389059,"Apr 20, 20",2.950000000000017,0.0198
220,2020-04-21 00:00:00,148.63,150.35,146.7,148.08,IEX,457371,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:57,-0.24919175591028495,-0.24919175591028495,148.08,148.63,150.35,146.7,457371,146.3752,146.9189,148.6191,145.0111,457371,"Apr 21, 20",-3.030000000000001,-0.02
219,2020-04-22 00:00:00,151.66,152.49,147.59,151.71,IEX,415780,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:43,-0.23388563346130536,-0.23388563346130536,151.71,151.66,152.49,147.59,415780,149.9634,149.914,150.7344,145.8908,415780,"Apr 22, 20",-0.700000000000017,-0.0046
218,2020-04-23 00:00:00,152.36,155.37,151.32,151.5,IEX,536424,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:52,-0.23034956556880173,-0.23034956556880173,151.5,152.36,155.37,151.32,536424,149.7558,150.6059,153.5813,149.5779,536424,"Apr 23, 20",-0.3599999999999852,-0.0024
217,2020-04-24 00:00:00,152.72,154.21,143.63,146.37,IEX,772475,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:46,-0.22853101636694284,-0.22853101636694284,146.37,152.72,154.21,143.63,772475,144.6849,150.9618,152.4346,141.9764,772475,"Apr 24, 20",-3.569999999999993,-0.0228
216,2020-04-27 00:00:00,156.29,157.3,153.02,154.77,IEX,543303,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:46,-0.21049707011517485,-0.21049707011517485,154.77,156.29,157.3,153.02,543303,152.9882,154.4907,155.489,151.2583,543303,"Apr 27, 20",-1.490000000000009,-0.0094
215,2020-04-28 00:00:00,157.78,162.12,155.98,158.5,IEX,496038,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:43,-0.20297029702970298,-0.20297029702970298,158.5,157.78,162.12,155.98,496038,156.6752,155.9635,160.2535,154.1842,496038,"Apr 28, 20",-0.09999999999999432,-0.0006
214,2020-04-29 00:00:00,157.88,161.65,156.85,160.0,IEX,470468,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:55,-0.2024651444736311,-0.2024651444736311,160.0,157.88,161.65,156.85,470468,158.158,156.0624,159.789,155.0442,470468,"Apr 29, 20",4.25,0.0277
213,2020-04-30 00:00:00,153.63,156.25,152.97,156.22,IEX,660264,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:53,-0.22393412810668828,-0.22393412810668828,156.22,153.63,156.25,152.97,660264,154.4215,151.8613,154.4511,151.2089,660264,"Apr 30, 20",2.3400000000000034,0.0155
212,2020-05-01 00:00:00,151.29,153.03,149.7,151.63,IEX,362771,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:58,-0.23575469791877154,-0.23575469791877154,151.63,151.29,153.03,149.7,362771,149.8843,149.5482,151.2682,147.9765,362771,"May 1, 20",0.6599999999999966,0.0044
211,2020-05-04 00:00:00,150.63,150.77,147.43,150.0,IEX,406347,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:49,-0.23908870478884628,-0.23908870478884628,150.0,150.63,150.77,147.43,406347,148.2731,148.8958,149.0342,145.7327,406347,"May 4, 20",-1.1500000000000057,-0.0076
210,2020-05-05 00:00:00,151.78,153.87,151.49,152.76,IEX,346698,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:53,-0.233279450394019,-0.233279450394019,152.76,151.78,153.87,151.49,346698,151.0013,150.0326,152.0985,149.7459,346698,"May 5, 20",0.0800000000000125,0.0005
209,2020-05-06 00:00:00,151.7,153.09,150.25,152.38,IEX,512431,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:52,-0.23368357243887664,-0.23368357243887664,152.38,151.7,153.09,150.25,512431,150.6257,149.9535,151.3275,148.5202,512431,"May 6, 20",-1.700000000000017,-0.0111
208,2020-05-07 00:00:00,153.4,155.21,152.89,154.1,IEX,448247,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:59,-0.22509597898565367,-0.22509597898565367,154.1,153.4,155.21,152.89,448247,152.3259,151.6339,153.4231,151.1298,448247,"May 7, 20",-1.299999999999983,-0.0084
207,2020-05-08 00:00:00,154.7,157.97,153.62,155.82,IEX,479512,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:57,-0.2185289957567186,-0.2185289957567186,155.82,154.7,157.97,153.62,479512,154.0261,152.919,156.1513,151.8514,479512,"May 8, 20",1.1399999999999864,0.0074
206,2020-05-11 00:00:00,153.56,153.9,150.86,153.09,IEX,491882,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:36,-0.2242877348959386,-0.2242877348959386,153.09,153.56,153.9,150.86,491882,151.3275,151.7921,152.1282,149.1232,491882,"May 11, 20",5.490000000000009,0.0371
205,2020-05-12 00:00:00,148.07,153.96,148.0,153.96,IEX,347471,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:58,-0.2520206102242878,-0.2520206102242878,153.96,148.07,153.96,148.0,347471,152.1875,146.3653,152.1875,146.2961,347471,"May 12, 20",1.2699999999999818,0.0087
204,2020-05-13 00:00:00,146.8,148.84,144.31,147.67,IEX,573769,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:36,-0.25843604768640127,-0.25843604768640127,147.67,146.8,148.84,144.31,573769,145.9699,145.1099,147.1264,142.6486,573769,"May 13, 20",-2.2299999999999898,-0.015
203,2020-05-14 00:00:00,149.03,149.24,141.86,144.42,IEX,752911,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:49,-0.24717114568599718,-0.24717114568599718,144.42,149.03,149.24,141.86,752911,143.2452,147.8177,148.026,140.706,752911,"May 14, 20",0.6100000000000136,0.0041
202,2020-05-15 00:00:00,148.42,152.89,147.93,148.14,IEX,2239506,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:35,-0.25025257627803604,-0.25025257627803604,148.14,148.42,152.89,147.93,2239506,146.935,147.2127,151.6463,146.7267,2239506,"May 15, 20",-6.210000000000008,-0.0402
201,2020-05-18 00:00:00,154.63,155.63,152.46,152.46,IEX,452702,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:58,-0.21888260254596895,-0.21888260254596895,152.46,154.63,155.63,152.46,452702,151.2198,153.3722,154.364,151.2198,452702,"May 18, 20",3.4799999999999898,0.023
200,2020-05-19 00:00:00,151.15,155.4,150.93,154.21,IEX,440488,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:51,-0.23646191149727216,-0.23646191149727216,154.21,151.15,155.4,150.93,440488,152.9556,149.9205,154.1359,149.7023,440488,"May 19, 20",-1.2199999999999989,-0.008
199,2020-05-20 00:00:00,152.37,154.75,152.01,152.93,IEX,402182,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:46,-0.2302990503131946,-0.2302990503131946,152.93,152.37,154.75,152.01,402182,151.686,151.1305,153.4912,150.7735,402182,"May 20, 20",0.8100000000000023,0.0053
198,2020-05-21 00:00:00,151.56,152.51,149.69,151.94,IEX,376782,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:36,-0.23439078601737726,-0.23439078601737726,151.94,151.56,152.51,149.69,376782,150.704,150.3271,151.2694,148.4723,376782,"May 21, 20",1.1100000000000136,0.0074
197,2020-05-22 00:00:00,150.45,151.94,148.825,151.55,IEX,383211,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:45,-0.2399979793897758,-0.2399979793897758,151.55,150.45,151.94,148.825,383211,150.3172,149.2262,150.704,147.6144,383211,"May 22, 20",-4.640000000000015,-0.0299
196,2020-05-26 00:00:00,155.09,157.03,153.7,154.2,IEX,398872,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:35,-0.216558900788038,-0.216558900788038,154.2,155.09,157.03,153.7,398872,152.9457,153.8284,155.7526,152.4497,398872,"May 26, 20",-4.1200000000000045,-0.0259
195,2020-05-27 00:00:00,159.21,159.32,155.49,157.39,IEX,509031,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:56,-0.1957466154778743,-0.1957466154778743,157.39,159.21,159.32,155.49,509031,156.1097,157.9149,158.024,154.2252,509031,"May 27, 20",1.740000000000009,0.011
194,2020-05-28 00:00:00,157.47,160.984,156.99,160.68,IEX,657661,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:57,-0.204536269953526,-0.204536269953526,160.68,157.47,160.984,156.99,657661,159.3729,156.1891,159.6745,155.713,657661,"May 28, 20",-1.9000000000000057,-0.0119
193,2020-05-29 00:00:00,159.37,159.66,155.7606,156.93,IEX,538068,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:52,-0.19493837138815923,-0.19493837138815923,156.93,159.37,159.66,155.7606,538068,155.6535,158.0736,158.3612,154.4936,538068,"May 29, 20",1.25,0.0079
192,2020-06-01 00:00:00,158.12,160.46,157.01,159.51,IEX,361093,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:35,-0.2012527783390584,-0.2012527783390584,159.51,158.12,160.46,157.01,361093,158.2125,156.8338,159.1547,155.7328,361093,"Jun 1, 20",-1.7800000000000011,-0.0111
191,2020-06-02 00:00:00,159.9,159.92,157.65,158.78,IEX,475787,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:44,-0.192261062840978,-0.192261062840978,158.78,159.9,159.92,157.65,475787,157.4884,158.5993,158.6191,156.3676,475787,"Jun 2, 20",-5.960000000000008,-0.0359
190,2020-06-03 00:00:00,165.86,166.21,161.16,161.45,IEX,657690,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:58,-0.1621539704990907,-0.1621539704990907,161.45,165.86,166.21,161.16,657690,160.1367,164.5108,164.858,159.849,657690,"Jun 3, 20",1.9000000000000057,0.0116
189,2020-06-04 00:00:00,163.96,164.4,162.315,164.4,IEX,484399,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:44,-0.17175186906445747,-0.17175186906445747,164.4,163.96,164.4,162.315,484399,163.0627,162.6263,163.0627,160.9947,484399,"Jun 4, 20",-3.329999999999984,-0.0199
188,2020-06-05 00:00:00,167.29,167.8,163.75,167.39,IEX,469579,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:53,-0.15493028894726216,-0.15493028894726216,167.39,167.29,167.8,163.75,469579,166.0284,165.9292,166.435,162.418,469579,"Jun 5, 20",0.4299999999999784,0.0026
187,2020-06-08 00:00:00,166.86,169.18,165.44,167.16,IEX,545779,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:58,-0.15710244493837136,-0.15710244493837136,167.16,166.86,169.18,165.44,545779,165.8002,165.5027,167.8038,164.0942,545779,"Jun 8, 20",4.75,0.0293
